family,metric,contrast_id,method,factor,direction,arm_a,arm_b,mean,sample_sd,ci95_lo,ci95_hi,n_catalogs,wins,ties,losses,paired_t_stat,paired_t_p_two_sided,wilcoxon_stat,wilcoxon_p_two_sided,cohen_dz,cohen_dz_defined
factorial_contrasts,f1_at_7,bonus_removal__full_catalog__component_continuous_fix,hybrid,gt_bonus,bonus_0.00_minus_0.20,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,-0.14628571428571427,0.07429019946092053,-0.16685714285714284,-0.12628571428571428,50,0,0,50,-13.923723628788956,1.17373810920225e-18,0.0,7.336037440414056e-10,-1.9691118794568068,True
factorial_contrasts,f1_at_7,bonus_removal__full_catalog__component_continuous_fix,rl_only,gt_bonus,bonus_0.00_minus_0.20,candidate=full_catalog__bonus=0.00__reward=component_continuous_fix,candidate=full_catalog__bonus=0.20__reward=component_continuous_fix,-0.1457142857142857,0.061428232421601676,-0.16228571428571428,-0.12914285714285711,50,0,0,50,-16.773323190737344,6.069238091368004e-22,0.0,7.455026716034453e-10,-2.3721061142407907,True
factorial_contrasts,f1_at_7,bonus_removal__full_catalog__implemented_r0,hybrid,gt_bonus,bonus_0.00_minus_0.20,candidate=full_catalog__bonus=0.00__reward=implemented_r0,candidate=full_catalog__bonus=0.20__reward=implemented_r0,-0.19428571428571423,0.06479390965872467,-0.21200000000000002,-0.17657142857142855,50,0,0,50,-21.202725191718997,2.4659810888138375e-26,0.0,7.449964134566088e-10,-2.9985181525398685,True
factorial_contrasts,f1_at_7,bonus_removal__full_catalog__implemented_r0,rl_only,gt_bonus,bonus_0.00_minus_0.20,candidate=full_catalog__bonus=0.00__reward=implemented_r0,candidate=full_catalog__bonus=0.20__reward=implemented_r0,-0.11657142857142855,0.040340078695855784,-0.12799999999999997,-0.10571428571428569,50,0,0,50,-20.433387911047483,1.2593166912991894e-25,0.0,6.887951362533813e-10,-2.88971743090338,True
factorial_contrasts,f1_at_7,bonus_removal__full_catalog__inclusive_range_fix,hybrid,gt_bonus,bonus_0.00_minus_0.20,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,-0.12685714285714286,0.05004288040487871,-0.14057142857142857,-0.11314285714285716,50,0,1,49,-17.92493662045306,3.6669057064059714e-23,0.0,1.0803989022098508e-09,-2.5349688473322867,True
factorial_contrasts,f1_at_7,bonus_removal__full_catalog__inclusive_range_fix,rl_only,gt_bonus,bonus_0.00_minus_0.20,candidate=full_catalog__bonus=0.00__reward=inclusive_range_fix,candidate=full_catalog__bonus=0.20__reward=inclusive_range_fix,-0.1177142857142857,0.04986946726302453,-0.13142857142857145,-0.10457142857142855,50,0,0,50,-16.69088808029387,7.458738370933937e-22,0.0,7.359364167828124e-10,-2.3604480291203025,True
factorial_contrasts,f1_at_7,bonus_removal__hidden30_only__component_continuous_fix,hybrid,gt_bonus,bonus_0.00_minus_0.20,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,-0.07657142857142857,0.04450290014837227,-0.08914285714285711,-0.06455714285714409,50,0,5,45,-12.16643773944671,2.0329471856509925e-16,0.0,3.228544923333253e-09,-1.7205941256893396,True
factorial_contrasts,f1_at_7,bonus_removal__hidden30_only__component_continuous_fix,rl_only,gt_bonus,bonus_0.00_minus_0.20,candidate=hidden30_only__bonus=0.00__reward=component_continuous_fix,candidate=hidden30_only__bonus=0.20__reward=component_continuous_fix,-0.24914285714285714,0.0838554516793225,-0.27142857142857146,-0.22571428571428576,50,0,0,50,-21.00884322269372,3.70239299884991e-26,0.0,7.377739030814414e-10,-2.9710991015303545,True
factorial_contrasts,f1_at_7,bonus_removal__hidden30_only__implemented_r0,hybrid,gt_bonus,bonus_0.00_minus_0.20,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,-0.17942857142857147,0.05887746259675741,-0.19542857142857145,-0.1628571428571429,50,0,0,50,-21.549019607843146,1.2021952961265428e-26,0.0,7.396155095977842e-10,-3.047491578525553,True
factorial_contrasts,f1_at_7,bonus_removal__hidden30_only__implemented_r0,rl_only,gt_bonus,bonus_0.00_minus_0.20,candidate=hidden30_only__bonus=0.00__reward=implemented_r0,candidate=hidden30_only__bonus=0.20__reward=implemented_r0,-0.32685714285714285,0.06882363725178119,-0.34571428571428564,-0.308,50,0,0,50,-33.581907528080286,1.7441481411939646e-35,0.0,7.349358852455706e-10,-4.749198907657029,True
factorial_contrasts,f1_at_7,bonus_removal__hidden30_only__inclusive_range_fix,hybrid,gt_bonus,bonus_0.00_minus_0.20,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,candidate=hidden30_only__bonus=0.20__reward=inclusive_range_fix,-0.09428571428571426,0.05266729755332221,-0.10857142857142858,-0.08,50,0,2,48,-12.658722022512508,4.6114574391783307e-17,0.0,1.5843897073872294e-09,-1.7902136366548163,True
factorial_contrasts,f1_at_7,bonus_removal__hidden30_only__inclusive_range_fix,rl_only,gt_bonus,bonus_0.00_minus_0.20,candidate=hidden30_only__bonus=0.00__reward=inclusive_range_fix,candidate=hidden30_only__bonus=0.20__reward=inclusive_range_fix,-0.264,0.08215344081899838,-0.28628571428571425,-0.24114285714285713,50,0,0,50,-22.722869349384425,1.1270316248601566e-27,0.0,7.456714929772728e-10,-3.213499000993136,True
factorial_contrasts,f1_at_7,bonus_removal__oracle_gt_hidden30__component_continuous_fix,hybrid,gt_bonus,bonus_0.00_minus_0.20,candidate=oracle_gt_hidden30__bonus=0.00__reward=component_continuous_fix,candidate=oracle_gt_hidden30__bonus=0.20__reward=component_continuous_fix,-0.16914285714285712,0.06397625548700948,-0.18685714285714283,-0.1514285714285714,50,0,1,49,-18.694757979273607,6.045080375273932e-24,0.0,1.0524126650625295e-09,-2.643838027957137,True
